2022-08-30 14:41:07,211 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Configure stats pid to 14716
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Pepe\.config\wandb\settings
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Pepe\Projetos Python\45ea8eeca14ac858128a4fd10892e3d1-aa45dfd9dfaf51942dde793fbe75c61896f7bc41\wandb\settings
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test-gpu-wandb.py', 'program': 'c:\\Users\\Pepe\\Projetos Python\\45ea8eeca14ac858128a4fd10892e3d1-aa45dfd9dfaf51942dde793fbe75c61896f7bc41\\test-gpu-wandb.py'}
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\Pepe\Projetos Python\45ea8eeca14ac858128a4fd10892e3d1-aa45dfd9dfaf51942dde793fbe75c61896f7bc41\wandb\run-20220830_144107-27va5sq1\logs\debug.log
2022-08-30 14:41:07,212 INFO    MainThread:14716 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\Pepe\Projetos Python\45ea8eeca14ac858128a4fd10892e3d1-aa45dfd9dfaf51942dde793fbe75c61896f7bc41\wandb\run-20220830_144107-27va5sq1\logs\debug-internal.log
2022-08-30 14:41:07,213 INFO    MainThread:14716 [wandb_init.py:init():495] calling init triggers
2022-08-30 14:41:07,213 INFO    MainThread:14716 [wandb_init.py:init():499] wandb.init called with sweep_config: {}
config: {}
2022-08-30 14:41:07,213 INFO    MainThread:14716 [wandb_init.py:init():548] starting backend
2022-08-30 14:41:07,213 INFO    MainThread:14716 [wandb_init.py:init():552] setting up manager
2022-08-30 14:41:07,223 INFO    MainThread:14716 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-08-30 14:41:07,226 INFO    MainThread:14716 [wandb_init.py:init():558] backend started and connected
2022-08-30 14:41:07,228 INFO    MainThread:14716 [wandb_init.py:init():636] updated telemetry
2022-08-30 14:41:07,230 INFO    MainThread:14716 [wandb_init.py:init():668] communicating run to backend with 30 second timeout
2022-08-30 14:41:07,774 INFO    MainThread:14716 [wandb_run.py:_on_init():1982] communicating current version
2022-08-30 14:41:07,992 INFO    MainThread:14716 [wandb_run.py:_on_init():1986] got version response 
2022-08-30 14:41:07,992 INFO    MainThread:14716 [wandb_init.py:init():700] starting run threads in backend
2022-08-30 14:41:11,389 INFO    MainThread:14716 [wandb_run.py:_console_start():1962] atexit reg
2022-08-30 14:41:11,389 INFO    MainThread:14716 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-30 14:41:11,389 INFO    MainThread:14716 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-30 14:41:11,389 INFO    MainThread:14716 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-30 14:41:11,390 INFO    MainThread:14716 [wandb_init.py:init():732] run started, returning control to user process
2022-08-30 14:42:30,393 WARNING MsgRouterThr:14716 [router.py:message_loop():76] message_loop has been closed
